 ;  Método da Divisão  ;  ; 
n ; p ; q ; tempo (ms)
7578857411 ; 83117 ; 91183 ; 1 ; 
7581512441 ; 83137 ; 91193 ; 1 ; 
7585659223 ; 83177 ; 91199 ; 1 ; 
7590526487 ; 83203 ; 91229 ; 1 ; 
7591557059 ; 83207 ; 91237 ; 1 ; 
7593151217 ; 83219 ; 91243 ; 1 ; 
7593833029 ; 83221 ; 91249 ; 1 ; 
7594713431 ; 83227 ; 91253 ; 1 ; 
7597575373 ; 83231 ; 91283 ; 1 ; 
7598423803 ; 83233 ; 91291 ; 1 ; 
7599836171 ; 83243 ; 91297 ; 1 ; 
7601613871 ; 83257 ; 91303 ; 1 ; 
7603026503 ; 83267 ; 91309 ; 1 ; 
7605041039 ; 83269 ; 91331 ; 1 ; 
7608404191 ; 83273 ; 91367 ; 1 ; 
7610946331 ; 83299 ; 91369 ; 1 ; 
7612376003 ; 83311 ; 91373 ; 1 ; 
7615601159 ; 83339 ; 91381 ; 1 ; 
7616283967 ; 83341 ; 91387 ; 1 ; 
7618246301 ; 83357 ; 91393 ; 1 ; 
7620956051 ; 83383 ; 91397 ; 1 ; 
7622671879 ; 83389 ; 91411 ; 1 ; 
7624586777 ; 83399 ; 91423 ; 1 ; 
7625603633 ; 83401 ; 91433 ; 1 ; 
7627820371 ; 83407 ; 91453 ; 1 ; 
7629068569 ; 83417 ; 91457 ; 1 ; 
7629784157 ; 83423 ; 91459 ; 1 ; 
7630849553 ; 83431 ; 91463 ; 1 ; 
7633901441 ; 83437 ; 91493 ; 1 ; 
7634951057 ; 83443 ; 91499 ; 1 ; 
7636668337 ; 83449 ; 91513 ; 1 ; 
7638918811 ; 83459 ; 91529 ; 1 ; 
7641018811 ; 83471 ; 91541 ; 1 ; 
7644072367 ; 83477 ; 91571 ; 1 ; 
7646070781 ; 83497 ; 91573 ; 1 ; 
7650067849 ; 83537 ; 91577 ; 1 ; 
7652400731 ; 83557 ; 91583 ; 1 ; 
7653435551 ; 83561 ; 91591 ; 1 ; 
7656125623 ; 83563 ; 91621 ; 1 ; 
7658427349 ; 83579 ; 91631 ; 1 ; 
7660195649 ; 83591 ; 91639 ; 1 ; 
7663587781 ; 83597 ; 91673 ; 1 ; 
7666192819 ; 83609 ; 91691 ; 1 ; 
7667929751 ; 83617 ; 91703 ; 1 ; 
7668965531 ; 83621 ; 91711 ; 1 ; 
7672456387 ; 83639 ; 91733 ; 1 ; 
7674312673 ; 83641 ; 91753 ; 1 ; 
7675748321 ; 83653 ; 91757 ; 1 ; 
7677837173 ; 83663 ; 91771 ; 1 ; 
7681060109 ; 83689 ; 91781 ; 1 ; 
7683835501 ; 83701 ; 91801 ; 1 ; 
7685806619 ; 83717 ; 91807 ; 1 ; 
7686325109 ; 83719 ; 91811 ; 1 ; 
7688145181 ; 83737 ; 91813 ; 1 ; 
7691186303 ; 83761 ; 91823 ; 1 ; 
7693461001 ; 83773 ; 91837 ; 1 ; 
7694163457 ; 83777 ; 91841 ; 1 ; 
7697627797 ; 83791 ; 91867 ; 1 ; 
7700151749 ; 83813 ; 91873 ; 1 ; 
7705007197 ; 83833 ; 91909 ; 1 ; 
7706932403 ; 83843 ; 91921 ; 1 ; 
7709728723 ; 83857 ; 91939 ; 1 ; 
7711167467 ; 83869 ; 91943 ; 1 ; 
7712206223 ; 83873 ; 91951 ; 1 ; 
7714364687 ; 83891 ; 91957 ; 1 ; 
7715803783 ; 83903 ; 91961 ; 1 ; 
7717042937 ; 83911 ; 91967 ; 1 ; 
7718130449 ; 83921 ; 91969 ; 1 ; 
7721584201 ; 83933 ; 91997 ; 1 ; 
7722639817 ; 83939 ; 92003 ; 1 ; 
7725903721 ; 83969 ; 92009 ; 1 ; 
7729207439 ; 83983 ; 92033 ; 1 ; 
7730247467 ; 83987 ; 92041 ; 1 ; 
7733296561 ; 84011 ; 92051 ; 1 ; 
7736033309 ; 84017 ; 92077 ; 1 ; 
7739299901 ; 84047 ; 92083 ; 1 ; 
7741869671 ; 84053 ; 92107 ; 1 ; 
7742758549 ; 84059 ; 92111 ; 1 ; 
7743615259 ; 84061 ; 92119 ; 1 ; 
7746185581 ; 84067 ; 92143 ; 1 ; 
7749053617 ; 84089 ; 92153 ; 1 ; 
7753684933 ; 84121 ; 92173 ; 1 ; 
7754574479 ; 84127 ; 92177 ; 1 ; 
7755111449 ; 84131 ; 92179 ; 1 ; 
7756505893 ; 84137 ; 92189 ; 1 ; 
7758237029 ; 84143 ; 92203 ; 1 ; 
7761427697 ; 84163 ; 92219 ; 1 ; 
7763071559 ; 84179 ; 92221 ; 1 ; 
7763761087 ; 84181 ; 92227 ; 1 ; 
7765188503 ; 84191 ; 92233 ; 1 ; 
7766263163 ; 84199 ; 92237 ; 1 ; 
7767875273 ; 84211 ; 92243 ; 1 ; 
7769471471 ; 84221 ; 92251 ; 1 ; 
7771171987 ; 84223 ; 92269 ; 1 ; 
7774084013 ; 84229 ; 92297 ; 1 ; 
7776186329 ; 84239 ; 92311 ; 1 ; 
7777430299 ; 84247 ; 92317 ; 1 ; 
7780255579 ; 84263 ; 92333 ; 1 ; 
7784759753 ; 84299 ; 92347 ; 1 ; 
7786004371 ; 84307 ; 92353 ; 1 ; 
