 ;  Método da Divisão  ;  ; 
n ; p ; q ; tempo (ms)
1005587985804223 ; 8226451 ; 122238373 ; 9417
1005594083588099 ; 8226499 ; 122238401 ; 9403
1005594737071763 ; 8226503 ; 122238421 ; 9386
1005595569220397 ; 8226509 ; 122238433 ; 9292
1005598046895173 ; 8226529 ; 122238437 ; 9246
1005599285732621 ; 8226539 ; 122238439 ; 9461
1005599727646483 ; 8226541 ; 122238463 ; 9621
1005601342585993 ; 8226553 ; 122238481 ; 9572
1005604457294231 ; 8226577 ; 122238503 ; 9571
1005605338803743 ; 8226583 ; 122238521 ; 9618
1005606709267627 ; 8226593 ; 122238539 ; 9577
1005607886935207 ; 8226599 ; 122238593 ; 9647
1005609419611211 ; 8226611 ; 122238601 ; 9569
1005611669265803 ; 8226629 ; 122238607 ; 9576
1005613074959783 ; 8226637 ; 122238659 ; 9620
1005613629727547 ; 8226641 ; 122238667 ; 9749
1005614706356671 ; 8226649 ; 122238679 ; 9748
1005615277577917 ; 8226653 ; 122238689 ; 9646
1005620771253991 ; 8226697 ; 122238703 ; 9677
1005623855387969 ; 8226719 ; 122238751 ; 9613
1005625420973753 ; 8226731 ; 122238763 ; 9562
1005625714811677 ; 8226733 ; 122238769 ; 9601
1005629903836891 ; 8226767 ; 122238773 ; 9613
1005630296396279 ; 8226769 ; 122238791 ; 9398
1005631927797391 ; 8226781 ; 122238811 ; 9392
1005635432752189 ; 8226809 ; 122238821 ; 9376
1005637113515387 ; 8226821 ; 122238847 ; 9401
1005641760919589 ; 8226857 ; 122238877 ; 9431
1005646927860019 ; 8226899 ; 122238881 ; 9425
1005652127708549 ; 8226941 ; 122238889 ; 9399
1005652943411353 ; 8226947 ; 122238899 ; 9377
1005653286612539 ; 8226949 ; 122238911 ; 9286
1005656074592233 ; 8226971 ; 122238923 ; 9270
1005656681056891 ; 8226973 ; 122238967 ; 9374
1005658735604231 ; 8226989 ; 122238979 ; 9381
1005659161075991 ; 8226991 ; 122239001 ; 9396
1005660644398009 ; 8227003 ; 122239003 ; 9415
1005661511796343 ; 8227007 ; 122239049 ; 9404
1005664805190079 ; 8227033 ; 122239063 ; 9371
1005666810377381 ; 8227049 ; 122239069 ; 9359
1005669158767829 ; 8227067 ; 122239087 ; 9237
1005669452608417 ; 8227069 ; 122239093 ; 9331
1005670968840019 ; 8227081 ; 122239099 ; 9404
1005672372227011 ; 8227091 ; 122239121 ; 9368
1005674299814231 ; 8227103 ; 122239177 ; 9343
1005676257976219 ; 8227117 ; 122239207 ; 9279
1005677513276797 ; 8227127 ; 122239211 ; 9375
1005681638837683 ; 8227159 ; 122239237 ; 9672
1005685635102353 ; 8227189 ; 122239277 ; 9637
1005687884772581 ; 8227207 ; 122239283 ; 9649
1005689172983147 ; 8227217 ; 122239291 ; 9670
1005690722126929 ; 8227229 ; 122239301 ; 9660
1005692045585291 ; 8227237 ; 122239343 ; 9575
1005694981668607 ; 8227259 ; 122239373 ; 9585
1005696808201651 ; 8227273 ; 122239387 ; 9568
1005697591001647 ; 8227279 ; 122239393 ; 9609
1005699288238511 ; 8227291 ; 122239421 ; 9605
1005701801185831 ; 8227309 ; 122239459 ; 9659
1005703498424327 ; 8227321 ; 122239487 ; 9641
1005705797463161 ; 8227339 ; 122239499 ; 9643
1005708879303671 ; 8227363 ; 122239517 ; 9668
1005710933864491 ; 8227379 ; 122239529 ; 9744
1005711441619741 ; 8227381 ; 122239561 ; 9608
