 ;  Método da Divisão  ;  ; 
n ; p ; q ; tempo (ms)
866423017 ; 8273 ; 104729 ; 243
3465918073 ; 16547 ; 209459 ; 684
13869217547 ; 33107 ; 418921 ; 1925
55483066187 ; 66221 ; 837847 ; 5424
221977905893 ; 132469 ; 1675697 ; 15264
887955112631 ; 264949 ; 3351419 ; 43740
3552016422607 ; 529927 ; 6702841 ; 123344
14208111206759 ; 1059857 ; 13405687 ; 347800
56832582493517 ; 2119717 ; 26811401 ; 984045
227331223344527 ; 4239449 ; 53622823 ; 2781131
909326053603783 ; 8478907 ; 107245669 ; 7868170
3637310700952739 ; 16957841 ; 214491379 ; 22229088
14549251938038687 ; 33915701 ; 428982787 ; 62851369
58197015318036173 ; 67831409 ; 857965597 ; 177701403
232788077122513919 ; 135662827 ; 1715931197 ; 511508749
