 ;  Método da Euclides  ;  ; 
n ; p ; q ; tempo (ms)
1005587985804223 ; 8226451 ; 122238373 ; 9340
1005594083588099 ; 8226499 ; 122238401 ; 9328
1005594737071763 ; 8226503 ; 122238421 ; 9309
1005595569220397 ; 8226509 ; 122238433 ; 9269
1005598046895173 ; 8226529 ; 122238437 ; 9230
1005599285732621 ; 8226539 ; 122238439 ; 9405
1005599727646483 ; 8226541 ; 122238463 ; 9552
1005601342585993 ; 8226553 ; 122238481 ; 9545
1005604457294231 ; 8226577 ; 122238503 ; 9548
1005605338803743 ; 8226583 ; 122238521 ; 9558
1005606709267627 ; 8226593 ; 122238539 ; 9514
1005607886935207 ; 8226599 ; 122238593 ; 9448
1005609419611211 ; 8226611 ; 122238601 ; 9526
1005611669265803 ; 8226629 ; 122238607 ; 9533
1005613074959783 ; 8226637 ; 122238659 ; 9554
1005613629727547 ; 8226641 ; 122238667 ; 9609
1005614706356671 ; 8226649 ; 122238679 ; 9680
1005615277577917 ; 8226653 ; 122238689 ; 9584
1005620771253991 ; 8226697 ; 122238703 ; 9585
1005623855387969 ; 8226719 ; 122238751 ; 9479
1005625420973753 ; 8226731 ; 122238763 ; 9484
1005625714811677 ; 8226733 ; 122238769 ; 9479
1005629903836891 ; 8226767 ; 122238773 ; 9461
1005630296396279 ; 8226769 ; 122238791 ; 9301
1005631927797391 ; 8226781 ; 122238811 ; 9303
1005635432752189 ; 8226809 ; 122238821 ; 9298
1005637113515387 ; 8226821 ; 122238847 ; 9314
1005641760919589 ; 8226857 ; 122238877 ; 9376
1005646927860019 ; 8226899 ; 122238881 ; 9329
1005652127708549 ; 8226941 ; 122238889 ; 9294
1005652943411353 ; 8226947 ; 122238899 ; 9284
1005653286612539 ; 8226949 ; 122238911 ; 9268
1005656074592233 ; 8226971 ; 122238923 ; 9233
1005656681056891 ; 8226973 ; 122238967 ; 9325
1005658735604231 ; 8226989 ; 122238979 ; 9341
1005659161075991 ; 8226991 ; 122239001 ; 9344
1005660644398009 ; 8227003 ; 122239003 ; 9359
1005661511796343 ; 8227007 ; 122239049 ; 9359
1005664805190079 ; 8227033 ; 122239063 ; 9327
1005666810377381 ; 8227049 ; 122239069 ; 9339
1005669158767829 ; 8227067 ; 122239087 ; 9183
1005669452608417 ; 8227069 ; 122239093 ; 9167
1005670968840019 ; 8227081 ; 122239099 ; 9273
1005672372227011 ; 8227091 ; 122239121 ; 9273
1005674299814231 ; 8227103 ; 122239177 ; 9270
1005676257976219 ; 8227117 ; 122239207 ; 9246
1005677513276797 ; 8227127 ; 122239211 ; 9197
1005681638837683 ; 8227159 ; 122239237 ; 9548
1005685635102353 ; 8227189 ; 122239277 ; 9670
1005687884772581 ; 8227207 ; 122239283 ; 9532
1005689172983147 ; 8227217 ; 122239291 ; 9495
1005690722126929 ; 8227229 ; 122239301 ; 9529
1005692045585291 ; 8227237 ; 122239343 ; 9541
1005694981668607 ; 8227259 ; 122239373 ; 9520
1005696808201651 ; 8227273 ; 122239387 ; 9544
1005697591001647 ; 8227279 ; 122239393 ; 9554
1005699288238511 ; 8227291 ; 122239421 ; 9551
1005701801185831 ; 8227309 ; 122239459 ; 9548
1005703498424327 ; 8227321 ; 122239487 ; 9575
1005705797463161 ; 8227339 ; 122239499 ; 9516
1005708879303671 ; 8227363 ; 122239517 ; 9497
1005710933864491 ; 8227379 ; 122239529 ; 9645
1005711441619741 ; 8227381 ; 122239561 ; 9491
