 ;  Método de Fermat  ;  ; 
n ; p ; q ; tempo (ms)
21542648337583938073 ; 22257067463 ; 967901471 ; 1691073
21542649613016761811 ; 22257067493 ; 967901527 ; 1691032
21542650160737003357 ; 22257067507 ; 967901551 ; 1689456
21542650572979037311 ; 22257067519 ; 967901569 ; 1711401
21542650849742863349 ; 22257067529 ; 967901581 ; 1694623
21542651747768777477 ; 22257067537 ; 967901621 ; 1691270
21542652018725194453 ; 22257067541 ; 967901633 ; 1694083
21542652483224578333 ; 22257067561 ; 967901653 ; 1692328
21542653255451302399 ; 22257067577 ; 967901687 ; 1686229
21542653528343523517 ; 22257067583 ; 967901699 ; 1690048
21542653874786931347 ; 22257067619 ; 967901713 ; 1690231
21542653975430022427 ; 22257067631 ; 967901717 ; 1687100
21542655179247478043 ; 22257067633 ; 967901771 ; 1683361
21542656435322283761 ; 22257067643 ; 967901827 ; 1684139
21542656808857599223 ; 22257067661 ; 967901843 ; 1680881
21542657683663226771 ; 22257067691 ; 967901881 ; 1682468
21542658637818108253 ; 22257067711 ; 967901923 ; 1684388
21542658792654356957 ; 22257067733 ; 967901929 ; 1687874
21542659288117258789 ; 22257067739 ; 967901951 ; 1686663
21542659468109604619 ; 22257067741 ; 967901959 ; 1688679
21542660046802721621 ; 22257067787 ; 967901983 ; 1685552
21542660186152540277 ; 22257067793 ; 967901989 ; 1689787
21542660710652504119 ; 22257067829 ; 967902011 ; 1684626
21542661113215529099 ; 22257067831 ; 967902029 ; 1683940
21542661326116545079 ; 22257067867 ; 967902037 ; 1700793
21542661430631249203 ; 22257067883 ; 967902041 ; 1723143
21542661488696013571 ; 22257067897 ; 967902043 ; 1726879
21542661732560537707 ; 22257067919 ; 967902053 ; 1678091
21542662181582863799 ; 22257067969 ; 967902071 ; 1676535
21542662369318428341 ; 22257067979 ; 967902079 ; 1675828
21542662535778866897 ; 22257068059 ; 967902083 ; 1680745
21542662851249428111 ; 22257068063 ; 967902097 ; 1696753
21542663747339563453 ; 22257068069 ; 967902137 ; 1701258
21542664051204661943 ; 22257068107 ; 967902149 ; 1699757
21542665436959663231 ; 22257068159 ; 967902209 ; 1703445
21542665796953728607 ; 22257068209 ; 967902223 ; 1695531
21542666199526127423 ; 22257068257 ; 967902239 ; 1694097
21542666553722149097 ; 22257068347 ; 967902251 ; 1690966
21542668078817624521 ; 22257068359 ; 967902319 ; 1682810
21542668630409507311 ; 22257068377 ; 967902343 ; 1685790
21542669452957821221 ; 22257068399 ; 967902379 ; 1684227
21542670078091541207 ; 22257068401 ; 967902407 ; 1683290
21542670623876012003 ; 22257068413 ; 967902431 ; 1686950
21542671051604512009 ; 22257068441 ; 967902449 ; 1684662
21542671320625138223 ; 22257068443 ; 967902461 ; 1682909
21542671591581569431 ; 22257068447 ; 967902473 ; 1692780
21542671738674614819 ; 22257068461 ; 967902479 ; 1688113
21542671928345992351 ; 22257068473 ; 967902487 ; 1689491
21542673643112857811 ; 22257068497 ; 967902563 ; 1690433
21542673995363725003 ; 22257068539 ; 967902577 ; 1690818
21542674101814245617 ; 22257068557 ; 967902581 ; 1688443
21542675497238938439 ; 22257068573 ; 967902643 ; 1689785
21542676201731297203 ; 22257068611 ; 967902673 ; 1697394
21542676780424467929 ; 22257068657 ; 967902697 ; 1704952
21542677061059929739 ; 22257068671 ; 967902709 ; 1724531
21542677159767231553 ; 22257068681 ; 967902713 ; 1694545
21542678506806185689 ; 22257068693 ; 967902773 ; 1705325
21542678950021144967 ; 22257068737 ; 967902791 ; 1719468
21542679766762064731 ; 22257068753 ; 967902827 ; 1723789
21542679817083619211 ; 22257068759 ; 967902829 ; 1728215
21542680086104250001 ; 22257068761 ; 967902841 ; 1731091
21542680368675520781 ; 22257068777 ; 967902853 ; 1710794
21542680931882257739 ; 22257068807 ; 967902877 ; 1737598
21542681289931164437 ; 22257068809 ; 967902893 ; 1735482
21542683016322299597 ; 22257068891 ; 967902967 ; 1706947
21542683267930077817 ; 22257068921 ; 967902977 ; 1692472
21542683347288722903 ; 22257068957 ; 967902979 ; 1687546
21542684649813558853 ; 22257068969 ; 967903037 ; 1687693
21542685331076270861 ; 22257068983 ; 967903067 ; 1694448
21542685665904910567 ; 22257069007 ; 967903081 ; 1718894
21542685861393122177 ; 22257069071 ; 967903087 ; 1705274
21542686531041000541 ; 22257069073 ; 967903117 ; 1697412
21542686757483303779 ; 22257069077 ; 967903127 ; 1704284
21542686896833137039 ; 22257069083 ; 967903133 ; 1709283
21542687251019842669 ; 22257069127 ; 967903147 ; 1711540
21542687618747786657 ; 22257069139 ; 967903163 ; 1702390
21542687825841434899 ; 22257069169 ; 967903171 ; 1694839
21542688458718403621 ; 22257069179 ; 967903199 ; 1700192
21542689155467575861 ; 22257069209 ; 967903229 ; 1693596
21542689207724940127 ; 22257069217 ; 967903231 ; 1688868
21542689480626600829 ; 22257069269 ; 967903241 ; 1688809
21542689532883965311 ; 22257069277 ; 967903243 ; 1688268
21542689770941110129 ; 22257069293 ; 967903253 ; 1688562
21542689923841591067 ; 22257069313 ; 967903259 ; 1689033
21542690223835134037 ; 22257069347 ; 967903271 ; 1688271
21542692062474882857 ; 22257069407 ; 967903351 ; 1687799
21542692201824719441 ; 22257069413 ; 967903357 ; 1688923
21542692832794139861 ; 22257069559 ; 967903379 ; 1687368
21542693254715266657 ; 22257069581 ; 967903397 ; 1693475
21542694464340251639 ; 22257069589 ; 967903451 ; 1702326
21542694652075842941 ; 22257069599 ; 967903459 ; 1691469
21542695283017019609 ; 22257069607 ; 967903487 ; 1691777
21542695561716696881 ; 22257069619 ; 967903499 ; 1691706
21542695850095409551 ; 22257069641 ; 967903511 ; 1688237
21542697373264606169 ; 22257069697 ; 967903577 ; 1689465
21542697588110925323 ; 22257069781 ; 967903583 ; 1689353
21542697950040889301 ; 22257069833 ; 967903597 ; 1688914
21542698091326537123 ; 22257069841 ; 967903603 ; 1699347
21542698325512078889 ; 22257069853 ; 967903613 ; 1697890
21542698530669939101 ; 22257069881 ; 967903621 ; 1700261
