 ;  Método de Fermat  ;  ; 
n ; p ; q ; tempo (ms)
866423017 ; 104729 ; 8273 ; 5
3465918073 ; 209459 ; 16547 ; 10
13869217547 ; 418921 ; 33107 ; 20
55483066187 ; 837847 ; 66221 ; 40
221977905893 ; 1675697 ; 132469 ; 81
887955112631 ; 3351419 ; 264949 ; 162
3552016422607 ; 6702841 ; 529927 ; 327
14208111206759 ; 13405687 ; 1059857 ; 652
56832582493517 ; 26811401 ; 2119717 ; 1306
227331223344527 ; 53622823 ; 4239449 ; 2615
909326053603783 ; 107245669 ; 8478907 ; 5228
3637310700952739 ; 214491379 ; 16957841 ; 10463
14549251938038687 ; 428982787 ; 33915701 ; 20891
58197015318036173 ; 857965597 ; 67831409 ; 41812
232788077122513919 ; 1715931197 ; 135662827 ; 83552
931152408828042151 ; 3431862397 ; 271325683 ; 166845
3724609682111774107 ; 6863724817 ; 542651371 ; 332711
14898439160950494379 ; 13727449691 ; 1085302769 ; 709348
59593757046298386053 ; 27454899403 ; 2170605551 ; 1470535
238375030391793864761 ; 54909798821 ; 4341211141 ; 2972001
953500122957521901259 ; 109819597663 ; 8682422293 ; 5956400
3814000495754967216211 ; 219639195337 ; 17364844603 ; 11910957
15256001991494762493769 ; 439278390703 ; 34729689223 ; 23831055
61024008007806264628549 ; 878556781439 ; 69459378491 ; 47627596
244096032053110247686583 ; 1757113562947 ; 138918756989 ; 95144813
976384128233458981252903 ; 3514227125957 ; 277837513979 ; 190135075
3905536513242953167600069 ; 7028454251977 ; 555675027997 ; 389571562
15622146053368019450847349 ; 14056908503969 ; 1111350056021 ; 760543506
